method,day,gate_move_l1,pi_expanding,pi_rolling_1,pi_rolling_3,pi_rolling_7,pi_rolling_14,h_eff,pi_m2,pi_m5b,pi_m5b_hs
adamoe,4,,0.2,0.2,0.2,0.2,0.2,17.0,,,
adamoe,5,0.01217698748892665,0.20202949791482117,0.19442961811292053,0.1994818881426163,0.20202949791482117,0.20202949791482117,17.157264613641285,,,
adamoe,6,0.007097001344718051,0.2032123314722741,0.19103602052676638,0.19932698505641122,0.2032123314722741,0.2032123314722741,17.249215824950202,,,
adamoe,7,0.005452155816290688,0.20407323686106654,0.18830994261862077,0.199470346798179,0.20407323686106654,0.20407323686106654,17.316653168759547,,,
adamoe,8,0.005674701631655038,0.2050190204663423,0.18617860064643363,0.19876433795453835,0.2050190204663423,0.2050190204663423,17.389012272283775,,,
adamoe,9,0.0014151136682011012,0.2048788793092748,0.18670262571352975,0.19894786972154282,0.2045917459463768,0.2048788793092748,17.37672552538913,,,
adamoe,10,0.0025974572906928284,0.20552824363194808,0.18584274077968238,0.19860975686631066,0.20449101509011008,0.20552824363194808,17.422199145773543,,,
adamoe,11,0.001202446984578387,0.2057815142699212,0.18593742299602542,0.19806301344435767,0.20443653501977396,0.2057815142699212,17.439014264441685,,,
adamoe,12,0.0018918854279609265,0.20625448562691123,0.1858283271791858,0.19741479302317094,0.20424790854381947,0.20625448562691123,17.470640002446867,,,
adamoe,13,0.0012908552249753236,0.20657719943315522,0.18579013113595322,0.19698242287505555,0.2040730471226801,0.20657719943315522,17.49196148767337,,,
adamoe,14,0.0016839950069832132,0.20699819818490114,0.1855374039906092,0.196866556725229,0.20359964291435928,0.20699819818490114,17.519201240249497,,,
adamoe,15,0.004203780806482649,0.2071654395563395,0.18343551358736787,0.1977549732102249,0.204478634089728,0.2071654395563395,17.538293399015263,,,
adamoe,16,0.001491079695610631,0.2076628688423484,0.18340329621874035,0.19718121977136938,0.20433906504940585,0.20741355011813606,17.5688822430735,,,
adamoe,17,0.0033428947897262695,0.20721770667042821,0.18484208495219484,0.19741387843277797,0.20358766196194827,0.20693866798265065,17.53240110596697,,,
adamoe,18,0.0008769770549458267,0.20748316715084486,0.1844344352697178,0.19755063128861816,0.20362393715316424,0.20690782913765465,17.54815352618558,,,
adamoe,19,0.004126647954006468,0.20836811446349568,0.1825800614681861,0.19734168111314657,0.2041979115715058,0.20751223138366542,17.611248592989224,,,
adamoe,20,0.001192828006157498,0.20820692124920515,0.18301912649157842,0.19743112702826793,0.20426581463607113,0.2070770105948775,17.596666633309475,,,
adamoe,21,0.003541413839759505,0.20747139422490507,0.18426110063412873,0.19795985980559722,0.2038233922694513,0.2064842530659175,17.543967622354227,,,
adamoe,22,0.002645579755122862,0.20702239020410068,0.18558389051168997,0.19772021411508184,0.20363415264844215,0.20603935252068478,17.51007794893166,,,
adamoe,23,0.0019872757190461665,0.20757089926106745,0.18459025265216694,0.19785097240232202,0.20370111697541815,0.20628675870902496,17.546319566277457,,,
adamoe,24,0.00044294098299191287,0.20752369405987275,0.18445080343155357,0.19781615633263422,0.20382034695443638,0.20638899922150278,17.545509333803913,,,
adamoe,25,0.001083391882568202,0.2078379498900576,0.18420304215818323,0.1975222216647207,0.2038874662023131,0.20654932008472554,17.56594944515815,,,
adamoe,26,0.0028250087866466267,0.20841001849652288,0.184737835964869,0.19636842138701494,0.20362876208669548,0.20685496206489773,17.599815013432725,,,
adamoe,27,0.003106134979193126,0.20855687909365422,0.18614404285733432,0.19536882532504662,0.2032670672448988,0.20666318547906626,17.601817331872947,,,
adamoe,28,0.003017798096407426,0.20912056520179134,0.1848082966724655,0.1962683015573297,0.2033128039526822,0.20649003261573123,17.634897197740948,,,
adamoe,29,0.0029762201741928285,0.2086867216295722,0.18375403015758834,0.1974586837829609,0.2034745868554504,0.20662597757442835,17.614419173310953,,,
adamoe,30,0.0019546447316955984,0.2089076572864325,0.1830371764962983,0.19719821507840307,0.20394128022837327,0.2069156709104929,17.633499613262973,,,
adamoe,31,0.0027807247532562474,0.20912958846840382,0.18420560769095518,0.19715770013228712,0.20287961672141616,0.2066274869869379,17.63639615105909,,,
adamoe,32,0.0012399588113741755,0.20928291834432333,0.18389378684626273,0.19757201303520136,0.20293195334826983,0.20631932842594358,17.642579198012367,,,
adamoe,33,0.0023077944395851757,0.20894612615320896,0.1850330401928162,0.19699084129941125,0.2026960200553817,0.20633397229918268,17.62032088585982,,,
adamoe,34,0.0030857447431655305,0.20916600655728992,0.18349016782123317,0.19712242085342646,0.2032575239796001,0.20696388078845063,17.64511482271442,,,
adamoe,35,0.0014774997855367122,0.2084674874519163,0.18345712660105767,0.1971152312862074,0.20398376705712695,0.20697638760369227,17.608407863426237,,,
adamoe,36,0.002862544831436359,0.20836306427258328,0.18456598405914082,0.1974376462438424,0.20308474782156077,0.20654855760287327,17.591935820336815,,,
adamoe,37,0.0013481105002736693,0.20840522537168943,0.18415907236481177,0.1971705026880345,0.20331423839162793,0.20695096118383666,17.60049722804539,,,
adamoe,38,0.0020852096095249906,0.20871151324860163,0.18489538929266208,0.19676131855552698,0.20322221299120868,0.20640956591200094,17.610159553581816,,,
adamoe,39,0.004798932099878778,0.20997513473348828,0.1830321072749498,0.19622513452329982,0.20342838708740918,0.20733923638085314,17.696963613797955,,,
adamoe,40,0.003260247126281729,0.20917258785818998,0.184507308490498,0.19587734476963634,0.20358330943500164,0.20685944944667384,17.64361007258925,,,
adamoe,41,0.0010500705540379407,0.20887291694019028,0.18431315400536846,0.19640238004665525,0.2035657504975259,0.2068457985102598,17.626696743183068,,,
adamoe,42,0.004281545306599049,0.20784544603771,0.18598040475994693,0.19687590194537663,0.20298437287961968,0.2063138743773471,17.556619724298873,,,
adamoe,43,0.0021079899843392536,0.20811459824609155,0.18594719006871196,0.1958551216444419,0.20346233940771072,0.20662075063304408,17.577315334484123,,,
