day,selected_window
7,expanding
8,rolling_3
9,rolling_3
10,rolling_3
11,rolling_3
12,rolling_3
13,rolling_3
14,rolling_7
15,rolling_7
16,rolling_7
17,rolling_7
18,rolling_7
19,rolling_7
20,rolling_7
21,rolling_7
22,rolling_7
23,rolling_7
24,rolling_7
25,rolling_7
26,rolling_7
27,rolling_7
28,rolling_7
29,rolling_7
30,rolling_7
31,rolling_7
32,rolling_7
33,rolling_7
34,rolling_7
35,rolling_7
36,rolling_7
37,rolling_7
38,rolling_7
39,rolling_7
40,rolling_14
41,rolling_14
42,rolling_14
43,rolling_14
44,rolling_14
45,rolling_14
46,rolling_14
47,rolling_14
48,rolling_14
49,rolling_14
50,rolling_14
51,rolling_14
52,rolling_14
53,rolling_14
54,rolling_14
55,rolling_14
56,rolling_14
57,rolling_14
58,rolling_14
59,rolling_14
60,rolling_14
61,rolling_14
62,rolling_14
63,rolling_14
64,rolling_14
65,rolling_14
66,rolling_14
67,rolling_14
68,rolling_7
69,rolling_7
70,rolling_7
71,rolling_7
72,rolling_7
73,rolling_7
74,rolling_7
75,rolling_7
76,rolling_7
77,rolling_7
78,rolling_7
79,rolling_7
80,rolling_7
81,rolling_7
82,rolling_7
83,rolling_7
84,rolling_7
85,rolling_7
86,rolling_7
87,rolling_7
88,rolling_7
89,rolling_7
90,rolling_7
91,rolling_7
92,rolling_7
93,rolling_14
94,rolling_7
95,rolling_7
96,rolling_7
97,rolling_7
98,rolling_7
99,rolling_7
100,rolling_7
101,rolling_7
102,rolling_7
103,rolling_7
104,rolling_7
105,rolling_7
106,rolling_7
107,rolling_7
108,rolling_7
109,rolling_7
110,rolling_7
111,rolling_7
112,rolling_7
113,rolling_7
114,rolling_7
115,rolling_7
116,rolling_7
117,rolling_7
118,rolling_7
119,rolling_7
