day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,oracle_horizon_A,oracle_horizon_loss_A,oracle_horizon_B,oracle_horizon_loss_B,m5b_low_loss,m5b_high_loss,oracle_persistence
4,expanding,0.39762307866949026,60,expanding,0.40489047392984695,expanding,0.3906963425619628,0.41099054969819326,0.41099054969819326,low
5,expanding,0.3830661539895009,60,expanding,0.3703629226601562,expanding,0.39621753187863235,0.38292562970217947,0.38690759619340376,low
6,expanding,0.377170791592145,60,expanding,0.39725394627692023,expanding,0.3581309176702152,0.377608255727497,0.3859199763695983,low
7,expanding,0.36371247492134434,60,expanding,0.3767721834019251,expanding,0.35058292842749833,0.3642551131035895,0.37229988373759754,low
8,expanding,0.35649306806871905,60,expanding,0.3580775324867223,expanding,0.35493790682357174,0.35853550769704773,0.3666749852635095,low
9,expanding,0.35530880772246926,60,expanding,0.36911021237540026,expanding,0.34244941781082017,0.3558337310893297,0.3616013647625132,low
10,expanding,0.3398608531804939,60,expanding,0.33068060215967726,expanding,0.3489922730788595,0.3399810085278394,0.34635829362450865,low
11,expanding,0.3689314468734561,60,expanding,0.3738884951956842,expanding,0.3638809952181039,0.37001440723485424,0.377084618690684,low
12,expanding,0.3484431198376138,60,expanding,0.34590651542952,expanding,0.35072895727000253,0.34999637256605803,0.3543110421991652,low
13,expanding,0.34717280254425326,60,expanding,0.36098831706004875,expanding,0.33412730374353133,0.349760494403274,0.3556688227483706,low
14,expanding,0.3495722873133625,60,expanding,0.34073283482108524,expanding,0.3591868066212466,0.34992971140451723,0.35232330308119847,low
15,expanding,0.3471364777628899,60,expanding,0.36042180241361593,expanding,0.33395701227272745,0.34887650023576894,0.3535243956586601,low
16,expanding,0.34694706923986784,60,expanding,0.3590166291056091,rolling_14,0.33398944384191853,0.34912502950951924,0.35373728824025574,low
17,expanding,0.3524632215331533,60,expanding,0.36219234175480935,expanding,0.34286296383098935,0.3557955247901685,0.3625139274282728,low
18,expanding,0.346686616246984,60,expanding,0.3398250891829209,rolling_14,0.35231015573819,0.3471788705671585,0.35194518852617085,low
19,expanding,0.34685068036460065,60,expanding,0.3574503146211896,expanding,0.33578893671262927,0.3487213364293721,0.353748076710098,low
20,expanding,0.3508429399247526,60,expanding,0.3585215582753142,expanding,0.3429357294176113,0.3519453191412896,0.35593692361648027,low
21,expanding,0.32920825668706677,60,expanding,0.33833315444630635,expanding,0.3205458293795625,0.33014073813884964,0.3347396691344736,low
22,expanding,0.36209623188404877,60,expanding,0.3543668360751306,expanding,0.3702927889781214,0.3637409656144361,0.3667728572947031,low
23,expanding,0.3496101916870472,60,expanding,0.3535599801113862,expanding,0.34585558136430106,0.3509964154018444,0.35348831164531674,low
24,expanding,0.32630297525612656,60,expanding,0.32644907752061936,expanding,0.32616147463775946,0.32803832914759345,0.3313170952528503,low
25,expanding,0.35510142150675905,60,expanding,0.3559254556302983,expanding,0.3542562440363633,0.35657036987972696,0.36076402696685483,low
26,expanding,0.33011569282669934,60,expanding,0.34653869396110937,expanding,0.3135386916816518,0.3308618921678316,0.3333648106279778,low
27,expanding,0.336994638735854,60,expanding,0.3416319921990622,expanding,0.3326157508577631,0.33827497859267147,0.34154142676259874,low
28,expanding,0.3345521678098724,60,expanding,0.3391764579449908,expanding,0.3298907347821024,0.3355385655196374,0.3376982114277579,low
29,expanding,0.3443956081329565,60,expanding,0.35010300559751056,expanding,0.3387487666096709,0.34488722851976616,0.34686278606139637,low
30,expanding,0.3543770467768959,60,expanding,0.36916511006058983,expanding,0.3397848518810655,0.3562355040600494,0.35844424428613564,low
31,expanding,0.341138515451091,60,expanding,0.3382748352717673,expanding,0.343956740389473,0.342603334616133,0.346053035074137,low
32,expanding,0.3427170201647519,60,expanding,0.3538396080347117,expanding,0.3313999553044633,0.34365913897059047,0.3469875633823705,low
33,expanding,0.3488404967673047,60,expanding,0.35882954550582574,expanding,0.33845759022672095,0.35043943522753496,0.354225787065445,low
34,expanding,0.3407823742707806,60,expanding,0.33901966619266466,expanding,0.3425078747905194,0.3421806378852064,0.34689192553095183,low
35,expanding,0.34824317372639296,60,expanding,0.3667362008935151,expanding,0.3291232642824191,0.34931151673832955,0.35265047858551324,low
36,expanding,0.3453900395775542,60,expanding,0.3449497106246045,expanding,0.34585635912072604,0.34668649409919816,0.3497829152130822,low
37,expanding,0.32981409516791876,60,expanding,0.3362518924672276,expanding,0.3232374774416707,0.3308797425681321,0.33357612677174686,low
38,expanding,0.33702467048794477,60,expanding,0.33670630342259444,expanding,0.3373434623258973,0.3393494805681475,0.34401160567567307,low
39,expanding,0.3434749217724853,60,expanding,0.3529780891720485,expanding,0.3337797711931329,0.3441022456556463,0.34679438442816685,low
40,expanding,0.3469350633510642,60,expanding,0.3639692970759277,expanding,0.33023814118510897,0.3473061567212351,0.34884768430979307,low
41,expanding,0.33984991684458815,60,expanding,0.3507915697439921,expanding,0.3290243557531353,0.3410873568822994,0.34360001000020385,low
42,expanding,0.32984982205137825,60,rolling_14,0.33267124485337546,expanding,0.3264237493138869,0.33005351118674364,0.33011040405929337,low
43,expanding,0.3419477915372932,60,expanding,0.343716717955112,expanding,0.3401503340482193,0.34404952116520293,0.3458687934922115,low
44,expanding,0.33281520535239706,60,expanding,0.3294315406589753,expanding,0.33623059898467206,0.33499710404972205,0.33847958182222465,low
45,expanding,0.3427277989562252,60,expanding,0.3529354168913148,expanding,0.33227222269072865,0.34376216835738305,0.34733522110419196,low
46,expanding,0.3268057298841497,60,expanding,0.3259548634072634,expanding,0.32765433040503905,0.3278751233644231,0.3313419160949789,low
47,expanding,0.33672488134279144,60,expanding,0.34843007264703246,expanding,0.32515931458691105,0.3369865829407392,0.33850766531079624,low
48,expanding,0.3394848912095354,60,expanding,0.34166484104073575,expanding,0.33733094475604314,0.34113266581774876,0.34264201469362143,low
49,expanding,0.33067085849994854,60,expanding,0.3389083679059659,expanding,0.32263942240362753,0.3326615010333113,0.3360590949847597,low
50,expanding,0.342773078540901,60,expanding,0.344988448916969,expanding,0.3405841340540107,0.34323298972368227,0.3449687597250469,low
51,expanding,0.3378190269627371,60,expanding,0.33076385759258453,expanding,0.344921388101252,0.3391419665154862,0.34257850841113424,low
52,expanding,0.34753685326461287,60,expanding,0.3508630716660864,expanding,0.3442808452779461,0.34761324194690224,0.34787971495952713,low
53,expanding,0.3381713352332354,60,expanding,0.3470291208622997,expanding,0.3292424027316484,0.34042927754868907,0.34140004779090494,low
54,expanding,0.3324086899623929,60,expanding,0.33321494451308814,expanding,0.3315916132029635,0.33398800375120946,0.3365104706455684,low
55,expanding,0.34003791024361524,60,expanding,0.34467586380530174,expanding,0.33546748479467325,0.3402541028456194,0.3416917677869578,low
56,expanding,0.32394797318573965,60,expanding,0.33165332025409866,expanding,0.31631420863825455,0.3251471761264948,0.3280846614706979,low
57,expanding,0.3312107401535073,60,expanding,0.3559772435663157,expanding,0.3067070113127181,0.3319904487538469,0.33387932044704927,low
58,expanding,0.3275135860382104,60,expanding,0.3467027258353203,expanding,0.30772681561776466,0.32946277693633313,0.3337135452026871,low
59,expanding,0.3399251505696943,60,expanding,0.3512615117643786,expanding,0.328634044309919,0.34042431951154706,0.3428747280686373,low
60,expanding,0.3316520388043345,60,expanding,0.34377203610943113,expanding,0.31991377369782376,0.33317269133247834,0.3374448646003113,low
61,expanding,0.33951051040163943,60,expanding,0.35047670726742747,expanding,0.32857351778848987,0.3408261879034381,0.3440380977439137,low
62,expanding,0.3360569588128243,60,expanding,0.34613884920110105,expanding,0.32592115457220394,0.3380705028253528,0.34202684359880464,low
63,expanding,0.3318229507245378,60,expanding,0.33945060242614805,expanding,0.32430635682400993,0.33308834633379264,0.3367041890835999,low
64,expanding,0.32567703724629515,60,expanding,0.33798882203575714,expanding,0.3133652524568333,0.3262954437998297,0.32870763669014913,low
65,expanding,0.3465206043952388,60,expanding,0.3623651888802534,expanding,0.3296284440765041,0.3478236740588051,0.3489972068597643,low
66,expanding,0.3426353593435141,60,expanding,0.3340900676895402,expanding,0.35114653805675344,0.34391541962299266,0.3449316837728796,low
67,expanding,0.3373651590460183,60,expanding,0.3363199816449187,expanding,0.33835604151719073,0.33863919120406044,0.3395446726814161,low
68,expanding,0.3420378436227174,60,expanding,0.3600970798406744,expanding,0.3247099415951676,0.343658241546405,0.3448684652279091,low
69,expanding,0.3317772914966353,60,expanding,0.3356416593890498,expanding,0.32772827803939564,0.3330815913562466,0.33464747489124075,low
70,expanding,0.34028813370374184,60,expanding,0.3503214701111034,expanding,0.32990083970263356,0.3410760069080697,0.34240971480053295,low
71,expanding,0.3434827263003706,60,expanding,0.36346373151410233,expanding,0.3239234837296728,0.3449549974245259,0.3451879821248214,low
72,expanding,0.31998773501099836,60,expanding,0.3366254966395602,expanding,0.3033721422853393,0.3213716913123303,0.3213859261653431,low
73,expanding,0.3308878878692933,60,expanding,0.3487721744565265,expanding,0.31209899621886444,0.3316871785390985,0.3320527970418078,low
74,expanding,0.34792422719803123,60,expanding,0.3610953169150471,expanding,0.33499672434500244,0.34878191854985124,0.3491289772581446,low
75,expanding,0.3353573156442073,60,expanding,0.33009380829823126,expanding,0.34128482320817327,0.3360677519179378,0.33632065559176916,low
76,expanding,0.3448528964052067,60,expanding,0.3449720410787197,expanding,0.3447315067445751,0.34642492828687144,0.3457799952171126,high
77,expanding,0.32872757941373915,60,expanding,0.3304955906251341,expanding,0.32705141294059853,0.33050566017943805,0.3305542104677777,low
78,expanding,0.3310939977696443,60,expanding,0.33095986514264264,expanding,0.3312204855318947,0.3318643861244026,0.3319403699454729,low
