day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,oracle_horizon_A,oracle_horizon_loss_A,oracle_horizon_B,oracle_horizon_loss_B,m5b_low_loss,m5b_high_loss,oracle_persistence
4,expanding,0.38202401658326923,60,expanding,0.370055596112434,expanding,0.39413692502759534,0.3897843451635097,0.3897843451635097,low
5,expanding,0.3682435942234378,60,expanding,0.37338353929457546,expanding,0.3630415975015419,0.37125734685461914,0.38086820227025797,low
6,expanding,0.3845745038092515,60,expanding,0.39835800667962606,expanding,0.3700938176084548,0.38420226695615306,0.3880980074202512,low
7,expanding,0.3719395631705796,60,expanding,0.36333875651074254,expanding,0.380426451861412,0.3726104707631846,0.3765517471488477,low
8,expanding,0.3619758489677174,60,expanding,0.34652002787387653,expanding,0.3765702309079159,0.36241261353449084,0.36481044520289324,low
9,expanding,0.3504980615051618,60,expanding,0.34016998644868984,expanding,0.36177683803126715,0.35071035120028304,0.35137500411473516,low
10,expanding,0.35548138524466283,60,expanding,0.3486630017192181,expanding,0.3620674254258591,0.3569319492797897,0.35717883889834773,low
11,expanding,0.3626407493691668,60,expanding,0.3671213796146197,expanding,0.3581541409646136,0.36718592960642743,0.3676304425872753,low
12,expanding,0.36073411592813637,60,expanding,0.3550095828556042,expanding,0.36651232848025017,0.36111793369395667,0.3621688829134119,low
13,expanding,0.3503702606183017,60,expanding,0.33664787831402154,expanding,0.3639833012309143,0.35105112489276447,0.3537733474699436,low
14,expanding,0.35339617574677934,60,expanding,0.348765564539577,expanding,0.3579472126701832,0.3545179940392046,0.3585243223555054,low
15,expanding,0.3362945745929889,60,expanding,0.34509161687773177,expanding,0.3269658429393879,0.337877106283501,0.3412219209941878,low
16,expanding,0.35765500131396205,60,expanding,0.35502008347022923,expanding,0.360419505281157,0.36009823617969355,0.36366413922576796,low
17,expanding,0.3276285968301219,60,expanding,0.33132912512841833,expanding,0.323991659897163,0.32932391431586183,0.33163910790212625,low
18,rolling_14,0.3555089703615237,14,expanding,0.3523909872038067,rolling_14,0.35732520667543216,0.35650573397912405,0.3587771631818814,low
19,expanding,0.34530804902101175,60,expanding,0.3402618290607142,expanding,0.35042200347742064,0.347221659756369,0.351388067076832,low
20,expanding,0.3442629604620144,60,expanding,0.36157608281127707,expanding,0.3281960268679686,0.345824824994245,0.3495648161217974,low
21,expanding,0.3409009145258944,60,expanding,0.33777518509343596,expanding,0.3442199880469584,0.3413992258444291,0.34460277591516303,low
22,expanding,0.35491721804268656,60,expanding,0.3472156627812199,expanding,0.36224797623886484,0.35593288221636754,0.3589195351705818,low
