method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
m5b_smooth0.001,0.4551061487951397,0.4520571218543706,0.45838589049729533,0.14795197198707494,0.8293917626269347,0.031315175985373464,-0.028450933128662002
m5b_smooth0,0.45531991724509435,0.4523255308740913,0.4585767180126075,0.1480471107665413,0.8291579141014138,0.031335246948601354,-0.02823716467870743
amgtp_fixed_beta0,0.45531991724509435,0.4523255308740913,0.4585767180126075,0.1480471107665413,0.8291579141014138,0.031335246948601354,-0.02823716467870743
m5b_smooth0.01,0.45534848730245886,0.45235197880035,0.45848323033294897,0.1480241324383676,0.8291704929166523,0.03181033056223978,-0.028208594621342755
ensemble3,0.456177218971397,0.4531681673775029,0.4594393828716599,0.1483358899665037,0.8282995202483632,0.030904929433268755,-0.027379862952404566
amgtp_hidden16,0.4571232241285906,0.45410473912563715,0.4603217468653539,0.1487348765303834,0.8273205203431224,0.030278180061653292,-0.026433857795211124
amgtp,0.4573454543254959,0.4543486850409003,0.46059378740828294,0.14882169863957195,0.8270872529247598,0.030435181009863314,-0.026211627598305785
amgtp_hidden8,0.457384069888043,0.45433598250039636,0.4606129573808206,0.14883562840742284,0.8270514185179997,0.03018736494201877,-0.02617301203575864
amgtp_no_state,0.4592992575505902,0.45621863071650487,0.46259367711229754,0.14959179157395847,0.825027290304226,0.029829671759662557,-0.024257824373211525
m5b_smooth0.1,0.46470473883285884,0.4618732870171194,0.46760212947293084,0.15164104124302982,0.8193192591638744,0.026558462006178136,-0.01885234309094284
m5b_smooth0.3,0.4726079594374743,0.469821907752461,0.47558388040552246,0.15502766456290032,0.8103110174064961,0.023656812370261942,-0.010949122486327435
amgtp_fixed_beta_hi,0.47684745534110146,0.4740104296828188,0.47977885785183205,0.15654151148655449,0.8060116513363696,0.022435759154897775,-0.006709626582700253
amgtp_global_q,0.4795982403651139,0.4768000495558556,0.4825336704896903,0.1578128371924087,0.8026614884292504,0.021541891279578358,-0.003958841558687742
learn_alpha,0.4814165885861026,0.478669853815711,0.4843185083679986,0.15881981246134808,0.8002435057739732,0.021941153278415778,-0.0021404933376991103
fixed_share,0.4815922213455956,0.4788780889802718,0.4844474837736962,0.1588799107762536,0.8000564846531955,0.022172670261396157,-0.001964860578206105
m2_context_gate,0.48331267708420755,0.4801533916927029,0.48640198294297543,0.15760829424518222,0.8008805779064663,0.024842611956966267,-0.00024440483959412246
rolling_14,0.48355708192380165,0.4806158066881633,0.4866891887293281,0.15965937640252628,0.7979822444609121,0.021718820050285942,0.0
validation_selected(h=rolling_14),0.48355708192380165,0.4806158066881633,0.4866891887293281,0.15965937640252628,0.7979822444609121,0.021718820050285942,0.0
han_arw,0.48355708192380165,0.4806158066881633,0.4866891887293281,0.15965937640252628,0.7979822444609121,0.021718820050285942,0.0
diff_forgetting,0.4874006454726066,0.4845920512811928,0.49018534820331466,0.15967305789834543,0.8023580443387182,0.04487122141959446,0.0038435635488048925
m1_global_mix,0.49694265178572905,0.49359516096875483,0.5004699478403103,0.16320968396433838,0.785902536654814,0.02465452291975908,0.013385569861927366
adamoe,0.497545689034334,0.49485654112339716,0.5004892920089129,0.1650056504228112,0.7823911435564398,0.022392683944496526,0.013988607110532281
amgtp_uniform_q,0.49991904688722655,0.4972447657177895,0.5028976956046177,0.1659725643252535,0.779810010140077,0.02338451414640363,0.016361964963424784
uniform5,0.4999190469655688,0.49724476599139406,0.502897695515767,0.16597256433122032,0.779810010140077,0.02338451362512392,0.01636196504176716
rolling_7,0.5043758573130218,0.5016104803178068,0.5073343701501761,0.16712587331957876,0.7794712604623195,0.034949119591399604,0.020818775389220175
expanding,0.5129377515050288,0.5078429979164412,0.5181827753579339,0.16721450868612692,0.7742012547328125,0.03429429574920304,0.02938066958122722
decay_hl7,0.516155772910783,0.5140300156803508,0.518622922943906,0.17043128560203522,0.8026978562156264,0.09463815746665248,0.03259869098698132
decay_hl3,0.5512862102877781,0.5492948280075384,0.5535911459048241,0.18458477165187942,0.7825789896688023,0.11641924411602775,0.06772912836397638
rolling_3,0.5793439279377243,0.5760492276239716,0.5829400058665779,0.1897955898540543,0.7368030632046664,0.09325800409617928,0.09578684601392254
decay_hl1,0.5923193861721396,0.5907016129682989,0.5940600380031321,0.2016949774632127,0.7323516103333509,0.10815137317252747,0.10876230424833788
rolling_1,0.9576953464390184,0.9500739523775444,0.9655810086182413,0.25759058516062766,0.6506315804779876,0.21453428716484454,0.47413826451521673
