method,log_loss,ci_lo,ci_hi,brier,roc_auc,ece,mean_excess_vs_oracle
rolling_14,0.33996164734638035,0.3372742247837011,0.34263590740802863,0.106627175300032,0.9181819346418842,0.040656961888521144,0.0
m5b_smooth0.001,0.34128166417503236,0.33859356554906056,0.3439665849708054,0.10689741142056597,0.9180636832172583,0.04307900565148445,0.0013200168286520565
m5b_smooth0.01,0.3412954183310302,0.33862894927353127,0.34392708064441907,0.1069030614700754,0.9180535662702946,0.0428107184535042,0.0013337709846498926
m5b_smooth0,0.3413483527913152,0.3386647327716566,0.34400755037881287,0.10692251514815698,0.9180215982518753,0.04287379218996494,0.0013867054449348485
han_arw,0.3420209918563898,0.33883514597675873,0.3451884669292813,0.10746829907951183,0.9165283691331967,0.03898604522473365,0.002059344510009464
ensemble3,0.3422744510659111,0.3395961147260745,0.34489314065599636,0.1071711563356987,0.9177453126461916,0.04387831149006426,0.00231280371953073
m5b_smooth0.3,0.34284618177346043,0.3400496918450706,0.3455125857088349,0.1073455903692168,0.9174533361337196,0.04418011597022913,0.0028845344270801497
m5b_smooth0.1,0.35221248495827634,0.3489180286219118,0.3555336154967782,0.1112336226072775,0.909614561177367,0.035511163461412726,0.012250837611895982
validation_selected(h=rolling_7),0.35469038575526846,0.35156059728876277,0.35765682220832384,0.11263810892999493,0.9063913064993455,0.027543632725135762,0.014728738408888217
rolling_7,0.35469038575526846,0.35156059728876277,0.35765682220832384,0.11263810892999493,0.9063913064993455,0.027543632725135762,0.014728738408888217
adamoe,0.3840375742281016,0.3810938964628418,0.38682846212057537,0.12084968371737649,0.8976642886353117,0.05829116562990967,0.04407592688172126
uniform5,0.38770459854482775,0.38471081113219197,0.39064978639108483,0.12213943127352937,0.8955689343053418,0.05862918071358078,0.04774295119844747
m1_global_mix,0.40255407006706523,0.3991176151060266,0.40597173312403884,0.12984040110022027,0.874651163680002,0.024204107455720623,0.06259242272068492
m2_context_gate,0.4026178701934087,0.39919150086116256,0.40602617591903584,0.12966454246921325,0.8749036137141696,0.024916723131584582,0.06265622284702844
rolling_3,0.4087343682520047,0.4049148628927658,0.4125344888311011,0.13182735078331514,0.8723390186018505,0.03260334931722026,0.06877272090562432
diff_forgetting,0.4218087802951814,0.4181465863887153,0.4257372418701421,0.13174907798191154,0.9154595751235401,0.1383668136093903,0.08184713294880108
decay_hl7,0.4493857733579884,0.44719195518684696,0.45160903459289936,0.1418766548964288,0.9171412898874539,0.16618347835709987,0.10942412601160811
decay_hl3,0.5121237657605195,0.5093430567707017,0.5148653861499932,0.16733866832982028,0.9001174841668312,0.19666616080905816,0.17216211841413923
expanding,0.5593434275079419,0.5477774032921107,0.5725776712147216,0.18900675983306903,0.720130628071455,0.0452187819145815,0.21938178016156157
decay_hl1,0.5841675229052056,0.5821267936440507,0.5863062966899087,0.1980697204646706,0.8488041172840262,0.1553806467198896,0.24420587555882523
rolling_1,0.6616486889546465,0.65366724840814,0.6705368414016343,0.1945109711276976,0.7758414792583217,0.13691814383728718,0.3216870416082661
